StimulusType,Condition,PrimeDuration,q,mean_qRT,mean_qAcc
Nonword,Identical,33 ms,0.1,552.7157402597403,0.7441558441558442
Nonword,Identical,33 ms,0.3,613.1766103896103,0.987012987012987
Nonword,Identical,33 ms,0.5,661.8591883116883,1
Nonword,Identical,33 ms,0.7,731.02848701298694,1
Nonword,Identical,33 ms,0.9,889.4923376623377,1
Nonword,Identical,50 ms,0.1,552.317474025974,0.7558441558441559
Nonword,Identical,50 ms,0.3,608.4371428571428,0.9792207792207792
Nonword,Identical,50 ms,0.5,659.5934415584416,1
Nonword,Identical,50 ms,0.7,731.7586623376623,1
Nonword,Identical,50 ms,0.9,894.3193116883117,1
Nonword,Unrelated,33 ms,0.1,551.7157987012987,0.7948051948051948
Nonword,Unrelated,33 ms,0.3,615.8612402597403,1
Nonword,Unrelated,33 ms,0.5,667.5732792207792,1
Nonword,Unrelated,33 ms,0.7,735.298487012987,1
Nonword,Unrelated,33 ms,0.9,888.788525974026,1
Nonword,Unrelated,50 ms,0.1,551.9047402597403,0.8428571428571429
Nonword,Unrelated,50 ms,0.3,613.4910194805195,1
Nonword,Unrelated,50 ms,0.5,662.1049025974025,1
Nonword,Unrelated,50 ms,0.7,732.8970389610389,1
Nonword,Unrelated,50 ms,0.9,885.9638311688312,1
Word,Identical,33 ms,0.1,503.6733441558442,0.8792207792207792
Word,Identical,33 ms,0.3,554.6744740259741,1
Word,Identical,33 ms,0.5,599.5916883116884,1
Word,Identical,33 ms,0.7,656.3291298701298,1
Word,Identical,33 ms,0.9,780.6444025974026,1
Word,Identical,50 ms,0.1,488.3182987012987,0.9584415584415584
Word,Identical,50 ms,0.3,535.9848636363637,1
Word,Identical,50 ms,0.5,578.8435389610389,1
Word,Identical,50 ms,0.7,633.7152402597402,1
Word,Identical,50 ms,0.9,758.9258441558442,1
Word,Unrelated,33 ms,0.1,520.0103246753247,0.7961038961038961
Word,Unrelated,33 ms,0.3,573.8602792207793,1
Word,Unrelated,33 ms,0.5,620.8459415584416,1
Word,Unrelated,33 ms,0.7,679.9195584415585,1
Word,Unrelated,33 ms,0.9,821.4469675324675,1
Word,Unrelated,50 ms,0.1,522.4983506493506,0.7662337662337663
Word,Unrelated,50 ms,0.3,575.3060064935065,1
Word,Unrelated,50 ms,0.5,618.8132142857143,1
Word,Unrelated,50 ms,0.7,678.1510389610389,1
Word,Unrelated,50 ms,0.9,800.2836883116884,1
